,tmp,company_name,year_10,year_20,year_30,year_40,year_50,year_other
0,国网西安供电公司,国网西安市长安区供电公司,3,13,4,0,0,0
1,,国网西安市鄠邑区供电公司,1,8,4,0,0,0
2,,国网西安市临潼区供电公司,3,9,4,0,0,0
3,,国网蓝田县供电公司,2,10,1,0,0,0
4,,国网西安供电公司市区供电分公司,0,0,1,1,0,0
5,,国网西安供电公司高新供电分公司,1,2,0,0,0,0
6,,国网西安供电公司市南供电分公司,1,1,1,0,0,0
7,,国网西安供电公司市东供电分公司,3,4,2,1,0,0
8,,国网西安市阎良区供电公司,2,0,6,0,0,0
9,,国网西安供电公司市北供电分公司,1,3,1,0,0,0
10,国网咸阳供电公司,国网咸阳市市区供电分公司,1,2,0,0,0,0
11,,国网兴平市供电公司,3,4,4,3,0,0
12,,国网咸阳市杨凌供电公司,1,2,1,0,0,0
13,,国网咸阳市高新供电分公司,0,2,0,0,0,0
14,国网宝鸡供电公司,国网宝鸡市高新供电公司,1,1,4,1,0,0
15,,国网宝鸡市城区供电分公司,4,3,2,0,0,0
16,,国网宝鸡市陈仓供电公司,1,2,8,0,0,0
17,,国网凤县供电公司,4,1,2,0,1,0
18,国网渭南供电公司,国网华阴市供电公司,2,4,0,0,0,0
19,,国网蒲城县供电公司,2,2,10,4,1,0
20,,国网渭南城区供电分公司（高新）,3,1,6,1,1,2
21,,国网潼关县供电公司,0,2,2,2,0,0
22,,国网韩城市供电公司,1,4,4,0,0,1
23,,国网渭南城区供电分公司（经开）,4,2,4,2,0,0
24,国网汉中供电公司,国网汉台供电分公司,0,5,4,3,0,0
25,,国网勉县供电分公司,1,5,7,0,0,0
26,,国网略阳县供电分公司,1,8,2,1,0,0
27,国网安康供电公司,国网安康汉滨区供电分公司,3,12,4,1,0,0
28,,国网白河县供电公司,1,5,2,0,0,0
29,,国网旬阳县供电公司,2,4,3,0,0,1
30,国网商洛供电公司,国网商洛市城区供电分公司,2,6,1,2,1,0
31,,国网洛南县供电公司,3,7,5,2,0,0
32,,国网山阳县供电公司,6,4,5,2,0,0
33,,国网丹凤县供电公司,2,4,4,0,0,0
34,国网铜川供电公司,国网铜川市新区供电中心,1,2,0,0,0,0
35,,国网铜川市耀州区供电公司,2,2,6,1,0,0
36,,国网铜川市印台王益区供电公司,2,6,1,2,1,0
37,,国网宜君县供电公司,1,4,0,2,0,0
38,国网延安供电公司,国网洛川县供电公司,2,6,2,0,0,0
39,,国网黄陵县供电公司,0,1,3,1,1,0
40,,国网延安新区供电服务站,,,,,,
41,,国网延安南泥湾开发区供电支公司,0,2,1,1,0,0
42,,国网延安宝塔区供电分公司,1,3,3,0,0,0
43,国网榆林供电公司,榆林市神木市供电分公司,0,2,1,2,0,0
44,,榆林市榆阳区供电分公司,1,1,0,0,0,0
45,国网西咸供电公司,国网西咸沣东新城供电支公司,1,3,1,0,0,0
46,,国网西咸沣西新城供电支公司,1,1,3,0,0,0
47,,国网西咸秦汉空港新城供电支公司,0,3,3,1,0,0
