,company_id,company_name,year_10,year_20,year_30,year_40,year_50,year_other
0,20095344,国网西咸新区秦汉空港供电支公司,0,3,3,1,0,0
1,20095345,国网西咸新区沣西新城供电支公司,1,1,3,0,0,0
2,20095346,国网西咸新区沣东新城供电支公司,1,3,1,0,0,0
3,25009728,国网西安市长安区供电公司,3,13,4,0,0,0
4,25009766,国网西安市临潼区供电公司,3,9,4,0,0,0
5,25009801,国网西安市鄠邑区供电公司,1,8,4,0,0,0
6,25009837,国网蓝田县供电公司,2,10,1,0,0,0
7,25009863,国网西安市阎良区供电公司,2,0,6,0,0,0
8,25009911,国网铜川市新区供电分公司,1,2,0,0,0,0
9,25010051,国网铜川市耀州区供电公司,2,2,6,1,0,0
10,25010077,国网铜川市印台王益区供电公司,2,6,1,2,1,0
11,25010100,国网宜君县供电公司,1,4,0,2,0,0
12,25010365,国网蒲城县供电公司,2,2,10,4,1,0
13,25010393,国网华阴市供电公司,2,4,0,0,0,0
14,25010421,国网潼关县供电公司,0,2,2,2,0,0
15,25010446,国网韩城市供电公司,1,4,4,0,0,1
16,25010471,国网咸阳市高新区供电分公司,0,2,0,0,0,0
17,25010472,国网咸阳市城区供电分公司,1,2,0,0,0,0
18,25010668,国网兴平市供电公司,3,4,4,3,0,0
19,25010691,国网咸阳市杨凌供电公司,1,2,1,0,0,0
20,25010927,国网宝鸡市陈仓供电公司,1,2,8,0,0,0
21,25010947,国网凤县供电公司,4,1,2,0,1,0
22,25010966,国网汉台区供电分公司,0,5,4,3,0,0
23,25011203,国网勉县供电公司,1,5,7,0,0,0
24,25011216,国网略阳县供电公司,1,8,2,1,0,0
25,25011229,国网安康汉滨区供电分公司,3,12,4,1,0,0
26,25011359,国网旬阳县供电公司,2,4,3,0,0,1
27,25011369,国网白河县供电公司,1,5,2,0,0,0
28,25011378,国网商洛市城区供电分公司,2,6,1,2,1,0
29,25011512,国网洛南县供电公司,3,7,5,2,0,0
30,25011548,国网山阳县供电公司,6,4,5,2,0,0
31,25011583,国网丹凤县供电公司,2,4,4,0,0,0
32,25011717,国网洛川县供电公司,2,6,2,0,0,0
33,25011734,国网黄陵县供电公司,0,1,3,1,1,0
34,25011823,国网神木县供电公司,0,2,1,2,0,0
35,25036477,国网渭南高新供电支公司,3,1,6,1,1,2
36,25036862,国网延安宝塔区供电分公司,1,3,3,0,0,0
37,25036863,南泥湾开发区供电支公司,0,2,1,1,0,0
38,25038439,国网榆林市榆阳区供电公司,1,1,0,0,0,0
39,25039585,国网渭南经开供电支公司,4,2,4,2,0,0
40,25039604,国网宝鸡市城区供电公司,4,3,2,0,0,0
41,25039673,国网蔡家坡开发区供电支公司,1,1,4,1,0,0
42,25040580,国网西安市高新供电公司,1,2,0,0,0,0
43,25040610,国网西安市市区供电公司,0,0,1,1,0,0
44,25040611,国网西安市市南供电公司,1,1,1,0,0,0
45,25040614,国网西安市市东供电公司,3,4,2,1,0,0
46,25040615,国网西安市市北供电公司,1,3,1,0,0,0
