ImageId,Label
1,8
2,9
3,1
4,3
5,7
6,6
7,8
8,7
9,9
10,2
11,4
12,6
13,6
14,7
15,4
16,6
17,1
18,3
19,3
20,1
21,2
22,1
23,5
24,6
25,1
26,7
27,9
28,9
29,4
30,0
31,1
32,7
33,5
34,3
35,9
36,3
37,1
38,6
39,0
40,2
41,6
42,1
43,4
44,4
45,9
46,3
47,3
48,9
49,6
50,4
51,7
52,7
53,9
54,7
55,4
56,4
57,1
58,3
59,7
60,3
61,4
62,6
63,7
64,9
65,7
66,2
67,5
68,1
69,3
70,7
71,5
72,7
73,0
74,4
75,9
76,9
77,8
78,1
79,5
80,1
81,4
82,7
83,2
84,6
85,8
86,6
87,8
88,5
89,0
90,9
91,7
92,5
93,8
94,7
95,0
96,5
97,9
98,4
99,2
100,6
101,1
102,9
103,7
104,7
105,3
106,5
107,7
108,1
109,4
110,0
111,1
112,0
113,3
114,8
115,5
116,4
117,2
118,7
119,1
120,3
121,1
122,3
123,3
124,1
125,1
126,4
127,0
128,4
129,0
130,1
131,7
132,7
133,3
134,9
135,6
136,2
137,2
138,0
139,0
140,4
141,9
142,9
143,0
144,9
145,2
146,8
147,1
148,0
149,6
150,8
151,5
152,9
153,5
154,1
155,2
156,1
157,1
158,8
159,3
160,5
161,1
162,7
163,3
164,7
165,1
166,0
167,6
168,0
169,2
170,0
171,4
172,7
173,2
174,2
175,6
176,1
177,1
178,4
179,9
180,9
181,4
182,8
183,7
184,4
185,2
186,2
187,1
188,1
189,8
190,6
191,1
192,9
193,4
194,4
195,6
196,5
197,1
198,1
199,7
200,3
201,6
202,1
203,0
204,5
205,0
206,7
207,6
208,3
209,4
210,1
211,9
212,3
213,3
214,6
215,1
216,2
217,5
218,8
219,9
220,7
221,7
222,2
223,6
224,3
225,6
226,2
227,8
228,6
229,6
230,8
231,9
232,9
233,6
234,9
235,1
236,5
237,4
238,0
239,7
240,9
241,8
242,5
243,8
244,1
245,5
246,1
247,8
248,5
249,8
250,6
251,9
252,3
253,3
254,2
255,6
256,3
257,3
258,8
259,9
260,9
261,3
262,7
263,7
264,6
265,1
266,6
267,5
268,4
269,0
270,1
271,9
272,3
273,1
274,2
275,2
276,2
277,1
278,2
279,1
280,5
281,7
282,0
283,1
284,4
285,1
286,7
287,5
288,1
289,2
290,1
291,3
292,9
293,4
294,4
295,3
296,7
297,2
298,6
299,6
300,9
301,1
302,8
303,2
304,9
305,2
306,3
307,7
308,4
309,6
310,5
311,5
312,7
313,6
314,3
315,3
316,6
317,3
318,6
319,1
320,6
321,4
322,4
323,3
324,2
325,0
326,3
327,6
328,9
329,8
330,7
331,3
332,1
333,1
334,4
335,2
336,8
337,0
338,3
339,8
340,0
341,3
342,3
343,6
344,0
345,3
346,7
347,6
348,5
349,8
350,3
351,5
352,4
353,3
354,7
355,5
356,5
357,9
358,2
359,6
360,4
361,7
362,6
363,7
364,1
365,8
366,1
367,7
368,5
369,6
370,6
371,8
372,7
373,7
374,2
375,4
376,1
377,5
378,9
379,8
380,2
381,1
382,4
383,3
384,2
385,6
386,1
387,2
388,7
389,0
390,9
391,8
392,1
393,6
394,2
395,3
396,4
397,7
398,1
399,8
400,6
401,3
402,4
403,3
404,5
405,0
406,2
407,4
408,0
409,7
410,9
411,8
412,8
413,3
414,2
415,0
416,3
417,8
418,0
419,7
420,1
421,0
422,2
423,3
424,2
425,1
426,2
427,0
428,6
429,4
430,5
431,7
432,2
433,4
434,2
435,9
436,2
437,8
438,3
439,3
440,7
441,8
442,5
443,1
444,3
445,3
446,3
447,3
448,9
449,2
450,1
451,3
452,5
453,5
454,9
455,8
456,0
457,9
458,7
459,5
460,1
461,7
462,8
463,7
464,7
465,4
466,8
467,7
468,2
469,4
470,8
471,2
472,9
473,1
474,8
475,6
476,4
477,7
478,6
479,0
480,4
481,5
482,3
483,4
484,1
485,7
486,8
487,1
488,4
489,5
490,2
491,0
492,5
493,0
494,0
495,7
496,0
497,2
498,7
499,9
500,8
501,8
502,9
503,1
504,6
505,0
506,1
507,5
508,1
509,0
510,1
511,7
512,6
513,9
514,9
515,4
516,3
517,5
518,3
519,7
520,6
521,6
522,3
523,3
524,8
525,2
526,3
527,2
528,6
529,8
530,3
531,7
532,1
533,1
534,3
535,7
536,7
537,5
538,0
539,4
540,2
541,9
542,5
543,4
544,3
545,6
546,6
547,4
548,4
549,3
550,9
551,0
552,5
553,0
554,6
555,5
556,2
557,4
558,3
559,0
560,7
561,9
562,8
563,0
564,8
565,2
566,8
567,9
568,6
569,2
570,1
571,1
572,7
573,9
574,2
575,1
576,8
577,1
578,1
579,5
580,4
581,7
582,8
583,2
584,0
585,8
586,4
587,6
588,1
589,4
590,0
591,3
592,8
593,6
594,2
595,7
596,8
597,8
598,3
599,6
600,5
601,4
602,6
603,6
604,3
605,9
606,0
607,0
608,2
609,5
610,4
611,9
612,2
613,5
614,8
615,7
616,6
617,4
618,0
619,6
620,1
621,0
622,9
623,9
624,1
625,7
626,9
627,3
628,5
629,0
630,5
631,2
632,3
633,8
634,7
635,6
636,4
637,8
638,3
639,3
640,5
641,0
642,8
643,1
644,7
645,7
646,4
647,3
648,8
649,3
650,6
651,9
652,2
653,2
654,4
655,3
656,1
657,1
658,5
659,0
660,8
661,1
662,3
663,0
664,8
665,2
666,1
667,3
668,3
669,3
670,3
671,2
672,4
673,3
674,8
675,6
676,1
677,6
678,6
679,7
680,6
681,8
682,2
683,1
684,3
685,8
686,6
687,9
688,7
689,0
690,0
691,6
692,8
693,4
694,4
695,4
696,7
697,5
698,8
699,7
700,9
701,8
702,5
703,9
704,9
705,1
706,8
707,1
708,1
709,2
710,8
711,3
712,2
713,6
714,6
715,9
716,2
717,7
718,4
719,4
720,8
721,8
722,7
723,5
724,5
725,9
726,2
727,9
728,8
729,0
730,2
731,1
732,3
733,7
734,9
735,4
736,7
737,0
738,7
739,2
740,0
741,7
742,3
743,3
744,7
745,4
746,9
747,2
748,8
749,7
750,2
751,0
752,0
753,9
754,0
755,1
756,0
757,1
758,5
759,8
760,4
761,5
762,9
763,7
764,8
765,1
766,3
767,8
768,4
769,7
770,1
771,6
772,2
773,3
774,7
775,1
776,0
777,9
778,3
779,8
780,6
781,4
782,5
783,6
784,8
785,5
786,3
787,5
788,8
789,3
790,8
791,7
792,9
793,0
794,8
795,0
796,1
797,5
798,4
799,8
800,2
801,1
802,2
803,8
804,3
805,6
806,9
807,4
808,0
809,0
810,0
811,9
812,3
813,5
814,1
815,1
816,1
817,3
818,2
819,5
820,7
821,4
822,1
823,6
824,6
825,1
826,5
827,9
828,6
829,0
830,3
831,8
832,1
833,4
834,1
835,4
836,2
837,0
838,1
839,9
840,5
841,3
842,0
843,2
844,7
845,9
846,8
847,5
848,5
849,1
850,1
851,1
852,6
853,6
854,6
855,4
856,6
857,2
858,9
859,4
860,0
861,2
862,0
863,2
864,3
865,5
866,6
867,9
868,4
869,1
870,3
871,2
872,3
873,7
874,4
875,9
876,7
877,0
878,9
879,1
880,6
881,5
882,3
883,1
884,1
885,3
886,1
887,7
888,6
889,4
890,3
891,9
892,2
893,4
894,6
895,3
896,9
897,5
898,5
899,7
900,4
901,6
902,2
903,7
904,6
905,3
906,1
907,3
908,9
909,4
910,4
911,4
912,6
913,3
914,6
915,6
916,0
917,8
918,5
919,5
920,8
921,2
922,1
923,4
924,6
925,5
926,3
927,1
928,0
929,4
930,7
931,9
932,4
933,7
934,0
935,7
936,6
937,2
938,8
939,3
940,0
941,1
942,0
943,8
944,4
945,5
946,4
947,1
948,4
949,7
950,6
951,2
952,1
953,4
954,4
955,1
956,6
957,1
958,6
959,6
960,0
961,1
962,3
963,6
964,3
965,3
966,1
967,2
968,6
969,5
970,8
971,5
972,6
973,6
974,4
975,0
976,9
977,2
978,4
979,1
980,5
981,9
982,1
983,2
984,7
985,0
986,5
987,4
988,8
989,0
990,3
991,1
992,7
993,8
994,9
995,7
996,3
997,9
998,6
999,0
1000,1
1001,0
1002,1
1003,4
1004,4
1005,6
1006,4
1007,8
1008,3
1009,3
1010,0
1011,6
1012,6
1013,0
1014,4
1015,1
1016,9
1017,7
1018,3
1019,1
1020,5
1021,3
1022,5
1023,3
1024,7
1025,4
1026,6
1027,3
1028,0
1029,7
1030,4
1031,7
1032,5
1033,9
1034,2
1035,4
1036,3
1037,2
1038,5
1039,9
1040,3
1041,2
1042,2
1043,5
1044,1
1045,8
1046,4
1047,2
1048,7
1049,0
1050,9
1051,7
1052,8
1053,6
1054,5
1055,3
1056,1
1057,1
1058,1
1059,3
1060,3
1061,3
1062,4
1063,6
1064,5
1065,7
1066,7
1067,6
1068,6
1069,4
1070,6
1071,1
1072,9
1073,0
1074,1
1075,1
1076,6
1077,6
1078,1
1079,5
1080,5
1081,2
1082,9
1083,1
1084,6
1085,9
1086,4
1087,7
1088,8
1089,9
1090,2
1091,0
1092,1
1093,2
1094,3
1095,6
1096,2
1097,6
1098,7
1099,7
1100,0
1101,0
1102,0
1103,2
1104,1
1105,3
1106,6
1107,0
1108,1
1109,0
1110,1
1111,5
1112,3
